Zip,City,Date,Price
30044,Lawrenceville,4/30/2018,194249
30044,Lawrenceville,5/31/2018,196004
30044,Lawrenceville,6/30/2018,197855
30044,Lawrenceville,7/31/2018,199283
30044,Lawrenceville,8/31/2018,200894
30044,Lawrenceville,9/30/2018,202369
30044,Lawrenceville,10/31/2018,203982
30044,Lawrenceville,11/30/2018,204796
30044,Lawrenceville,12/31/2018,205708
30044,Lawrenceville,1/31/2019,206080
30044,Lawrenceville,2/28/2019,207290
30044,Lawrenceville,3/31/2019,208458
30044,Lawrenceville,4/30/2019,210117
30044,Lawrenceville,5/31/2019,211404
30044,Lawrenceville,6/30/2019,212309
30044,Lawrenceville,7/31/2019,213407
30044,Lawrenceville,8/31/2019,214366
30044,Lawrenceville,9/30/2019,215062
30044,Lawrenceville,10/31/2019,215397
30044,Lawrenceville,11/30/2019,216345
30044,Lawrenceville,12/31/2019,217517
30044,Lawrenceville,1/31/2020,218777
30044,Lawrenceville,2/29/2020,219793
30044,Lawrenceville,3/31/2020,220923
30044,Lawrenceville,4/30/2020,222027
30044,Lawrenceville,5/31/2020,223341
30044,Lawrenceville,6/30/2020,224911
30044,Lawrenceville,7/31/2020,226691
30044,Lawrenceville,8/31/2020,228803
30044,Lawrenceville,9/30/2020,231371
30044,Lawrenceville,10/31/2020,234334
